SOBAODANH,diem_trung_binh
18000001,3.875
18000002,4.9825
18000003,4.0
18000004,4.0
18000005,3.5625
18000006,5.075
18000007,3.375
18000008,3.3449999999999998
18000009,4.5
18000010,3.7199999999999998
18000011,3.4699999999999998
18000012,4.5625
18000013,4.2825
18000014,4.095
18000015,4.1575
18000016,5.3325
18000017,5.6875
18000018,4.6625000000000005
18000019,5.595
18000020,4.625
18000021,4.5625
18000022,4.75
18000023,4.5
18000024,3.9375
18000025,5.5325
18000026,5.495
18000027,4.6875
18000028,4.75
18000029,5.3375
18000030,5.2825
18000031,4.275
18000032,5.0625
18000033,4.5825
18000034,3.12
18000035,2.9375
18000036,4.22
18000037,4.3125
18000038,5.3125
18000039,3.9699999999999998
18000040,5.175
18000041,4.3375
18000042,5.3325
18000043,5.4875
18000044,4.3075
18000045,4.6375
18000046,5.0325
18000047,3.5625
18000048,3.875
18000049,5.0325
18000050,4.0625
18000051,5.0
18000052,5.0125
18000053,5.0625
18000054,2.1
18000055,4.2575
18000056,4.6875
18000057,4.7075
18000058,3.87
18000059,3.1625
18000060,3.5324999999999998
18000061,4.37
18000063,4.9325
18000064,5.1875
18000065,4.495
18000066,4.0325
18000067,4.375
18000068,4.3125
18000069,4.5325
18000070,4.095
18000071,4.05
18000072,4.9575
18000073,3.9699999999999998
18000074,4.1875
18000075,3.87
18000076,3.5575
18000077,5.1325
18000078,5.5625
18000079,4.62
18000080,4.05
18000081,4.9625
18000082,4.9625
18000083,5.0625
18000084,4.745
18000085,4.97
18000086,6.3375
18000087,4.4375
18000088,2.875
18000089,5.0325
18000090,4.6875
18000091,4.0325
18000092,3.5
18000093,5.5125
18000094,4.7575
18000095,5.4
18000096,4.1875
18000097,4.9075
18000098,4.375
18000099,2.875
18000100,4.2825
18000101,5.27
18000102,3.995
18000103,4.345
18000104,4.37
18000105,4.3375
18000106,5.145
18000107,5.0875
18000108,5.0625
18000109,4.55
18000110,5.0575
18000111,4.625
18000112,4.1375
18000113,4.6825
18000114,2.5
18000115,4.75
18000116,4.8375
18000117,4.2075
18000118,3.825
18000119,4.55
18000120,5.22
18000121,5.2825
18000122,4.25
18000123,2.9699999999999998
18000124,4.695
18000125,5.2825
18000126,5.3125
18000127,3.8625
18000128,4.525
18000129,3.8375
18000130,4.47
18000131,5.3375
18000132,4.35
18000133,4.125
18000134,4.875
18000135,5.4075
18000136,3.9074999999999998
18000137,4.75
18000138,5.0375
18000139,5.5625
18000140,3.85
18000141,4.97
18000142,4.0625
18000143,4.2825
18000144,3.9699999999999998
18000145,4.75
18000146,5.37
18000147,3.8125
18000148,4.345
18000149,5.0125
18000150,3.25
18000151,3.9375
18000152,3.2199999999999998
18000153,4.2825
18000154,5.095
18000155,5.6875
18000156,3.1875
18000157,4.545
18000158,4.2825
18000159,3.675
18000160,4.1875
18000161,4.425
18000162,3.0375
18000163,4.625
18000164,4.275
18000165,4.5325
18000166,4.0875
18000167,4.75
18000168,3.9
18000169,4.15
18000170,5.4825
18000171,4.37
18000172,4.9075
18000173,3.5125
18000174,4.625
18000175,4.475
18000176,5.62
18000177,3.995
18000178,4.8875
18000179,4.375
18000180,3.75
18000181,5.7125
18000182,3.0949999999999998
18000183,4.9375
18000184,3.875
18000185,4.2
18000186,5.1875
18000187,3.8125
18000188,3.9074999999999998
18000189,4.375
18000190,4.97
18000191,5.6575
18000192,4.445
18000193,4.7325
18000194,4.8375
18000195,4.1875
18000196,4.1875
18000197,4.1075
18000198,5.125
18000199,5.45
18000200,5.175
18000201,3.87
18000202,5.6075
18000203,4.625
18000204,4.8375
18000205,4.0625
18000206,4.75
18000207,4.6575
18000208,5.8625
18000209,4.625
18000210,4.0625
18000211,5.0325
18000212,5.6825
18000213,4.5875
18000214,4.9075
18000215,4.75
18000216,5.0
18000217,3.7375
18000218,4.6825
18000219,3.7824999999999998
18000220,4.1575
18000221,3.6574999999999998
18000222,4.345
18000223,4.595
18000224,4.744999999999999
18000225,4.9
18000226,4.0625
18000227,4.345
18000228,4.8875
18000229,3.995
18000230,4.5625
18000231,4.1375
18000232,4.5625
18000233,2.8125
18000234,6.05
18000235,4.3125
18000236,4.845
18000237,4.5
18000238,4.65
18000239,4.75
18000240,4.5625
18000241,3.5575
18000242,6.145
18000243,5.0825
18000244,5.1875
18000245,4.65
18000246,4.1325
18000247,3.95
18000248,4.67
18000249,4.3125
18000250,5.02
18000251,5.0
18000252,4.0
18000253,3.25
18000254,5.1125
18000255,3.25
18000256,4.62
18000257,3.275
18000258,2.9375
18000259,4.1875
18000260,5.5
18000261,5.0625
18000262,4.97
18000263,4.6325
18000264,4.595
18000265,5.0875
18000266,4.6875
18000267,4.8375
18000268,4.095
18000269,3.9
18000270,3.3125
18000271,3.25
18000272,5.2125
18000273,4.475
18000274,4.875
18000275,4.1875
18000276,4.25
18000277,4.1875
18000278,2.7824999999999998
18000279,3.375
18000280,4.1875
18000281,4.8375
18000282,3.75
18000283,4.875
18000284,4.4375
18000285,3.875
18000286,4.5
18000287,4.345
18000288,5.2375
18000289,3.6825
18000290,4.995
18000291,4.595
18000292,5.7825
18000293,5.77
18000294,4.1575
18000295,2.3449999999999998
18000296,4.75
18000297,5.0625
18000298,4.7825
18000299,5.125
18000300,4.4075
18000301,4.3125
18000302,3.45
18000303,4.0625
18000304,4.275
18000305,4.5625
18000306,4.35
18000307,4.6575
18000308,3.625
18000309,4.1875
18000310,3.8125
18000311,3.9375
18000312,4.625
18000313,4.125
18000314,5.625
18000315,5.645
18000316,5.22
18000317,5.05
18000318,4.6875
18000319,4.4
18000320,5.3075
18000321,4.6825
18000322,3.4699999999999998
18000323,4.6575
18000324,4.8125
18000325,5.245
18000326,3.625
18000327,4.72
18000328,4.5875
18000329,5.0325
18000330,4.6575
18000331,5.0875
18000332,5.55
18000333,4.595
18000334,3.4166666666666665
18000335,4.3125
18000336,5.0325
18000337,4.77
18000338,4.8
18000339,4.625
18000340,5.6825
18000341,3.9375
18000342,4.0125
18000343,5.0575
18000344,4.87
18000345,4.72
18000346,4.4375
18000347,4.2075
18000348,4.97
18000349,5.0
18000350,4.845
18000351,5.1575
18000352,4.9375
18000353,4.0625
18000354,4.375
18000355,4.645
18000356,4.4375
18000357,4.8075
18000358,4.1575
18000359,4.97
18000360,4.75
18000361,4.995
18000362,4.97
18000363,4.1825
18000364,2.3
18000365,4.3375
18000366,4.2825
18000367,5.425
18000368,4.8125
18000369,4.97
18000370,3.0
18000371,5.2125
18000372,4.5625
18000373,5.525
18000374,4.595
18000375,3.625
18000376,4.425
18000377,5.4575
18000378,4.595
18000379,5.275
18000380,5.675
18000381,5.77
18000382,5.2375
18000383,5.6125
18000384,5.8
18000385,3.6625
18000386,4.8075
18000387,5.095
18000388,4.4875
18000389,2.7824999999999998
18000390,4.675
18000391,3.0
18000392,4.745
18000393,4.6875
18000394,4.645
18000395,4.75
18000396,4.5625
18000397,5.1875
18000398,3.3449999999999998
18000399,4.775
18000400,5.42
18000401,4.5
18000402,4.0875
18000403,4.6875
18000404,5.05
18000405,5.050000000000001
18000406,4.2825
18000407,3.5
18000408,3.6825
18000409,5.125
18000410,5.4
18000411,3.6574999999999998
18000412,4.495
18000413,2.875
18000414,5.3575
18000415,4.22
18000416,3.75
18000417,5.3625
18000418,4.97
18000419,5.425
18000420,4.4075
18000421,5.1375
18000422,4.77
18000423,4.245
18000424,4.5325
18000425,4.4625
18000426,3.6875
18000427,4.6825
18000428,4.2125
18000429,4.05
18000430,4.675
18000431,4.6875
18000432,4.0625
18000433,3.9375
18000434,4.1575
18000435,4.27
18000436,3.375
18000437,4.7825
18000438,4.1575
18000439,4.25
18000440,4.0
18000441,4.5875
18000442,5.3075
18000443,4.9075
18000444,3.9074999999999998
18000445,3.15
18000446,4.525
18000447,4.25
18000448,4.7125
18000449,4.37
18000450,4.345
18000451,4.775
18000452,3.625
18000453,4.8
18000454,4.8375
18000455,3.375
18000456,4.7
18000457,3.25
18000459,3.9375
18000460,4.4375
18000461,4.375
18000462,4.7825
18000463,4.2625
18000464,4.2375
18000465,4.495
18000466,4.725
18000467,4.3125
18000468,4.25
18000469,3.5625
18000470,2.8449999999999998
18000471,4.5875
18000472,4.6875
18000473,5.3625
18000474,4.4075
18000475,3.75
18000476,3.0
18000477,4.8375
18000478,5.0
18000479,4.875
18000480,3.4375
18000481,4.625
18000482,3.9074999999999998
18000483,4.7825
18000484,5.75
18000485,3.55
18000486,5.1875
18000487,3.1666666666666665
18000488,4.8375
18000489,3.5949999999999998
18000490,4.5825
18000491,5.325
18000492,4.15
18000493,5.125
18000494,3.7199999999999998
18000495,4.2825
18000496,4.1875
18000497,4.7825
18000498,4.9375
18000499,4.745
18000500,4.8075
18000501,4.1625
18000502,4.3625
18000503,3.375
18000504,5.42
18000505,4.0575
18000506,5.0325
18000507,3.9375
18000508,4.1125
18000509,5.75
18000510,4.3075
18000511,5.345
18000512,4.4375
18000513,4.2125
18000514,4.5825
18000515,5.0325
18000516,5.2625
18000517,4.75
18000518,5.4375
18000519,5.22
18000520,5.0575
18000521,4.25
18000522,5.4325
18000523,4.4075
18000524,5.25
18000525,4.22
18000526,4.9325
18000527,4.6125
18000528,2.5
18000529,4.45
18000530,5.3875
18000531,5.4075
18000532,3.375
18000533,4.9575
18000534,5.4825
18000535,3.1875
18000536,4.0625
18000537,5.22
18000538,4.1825
18000539,4.8125
18000540,5.15
18000541,3.75
18000542,3.67
18000543,4.0
18000544,4.5
18000545,4.2825
18000546,4.5875
18000547,4.8375
18000548,4.5625
18000549,5.5
18000550,5.0575
18000551,4.3375
18000552,3.6875
18000553,4.345
18000554,4.55
18000555,5.12
18000556,5.6825
18000557,4.9
18000558,4.9375
18000559,5.72
18000560,4.4825
18000561,4.9375
18000562,4.25
18000563,4.4375
18000564,4.1875
18000565,4.5
18000566,5.0
